query_filepath,query_category,match_filepath,match_category,distance
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,0.0
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,0.7295502879723542
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1343.obj,AircraftBuoyant,0.8787257225179531
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m385.obj,BuildingNonResidential,0.9091975524170349
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m35.obj,Bird,1.020997464319852
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m382.obj,BuildingNonResidential,1.1548912014822508
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m390.obj,BuildingNonResidential,1.2078271032372792
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01109.obj,Bookset,1.2548752580409823
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m383.obj,BuildingNonResidential,1.4539986792816373
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m475.obj,BuildingNonResidential,1.4565325394530984
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D00922.obj,Bird,1.4875344566918154
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m52.obj,Bird,1.523545796167848
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m393.obj,BuildingNonResidential,1.525355898019848
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m391.obj,BuildingNonResidential,1.5319293163040804
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,D01050.obj,Bookset,1.5662601682091797
./data_normalized/AircraftBuoyant/m1337.obj,AircraftBuoyant,m63.obj,AquaticAnimal,1.630784256902826
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1338.obj,AircraftBuoyant,2.220446049250313e-16
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1337.obj,AircraftBuoyant,0.7295502879723542
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m382.obj,BuildingNonResidential,0.8513952475816883
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m385.obj,BuildingNonResidential,0.9474896393989805
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m393.obj,BuildingNonResidential,1.0741704462987949
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m383.obj,BuildingNonResidential,1.0812597329433116
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1343.obj,AircraftBuoyant,1.266661219610429
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m396.obj,BuildingNonResidential,1.3356828563502514
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01109.obj,Bookset,1.414294305493302
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00922.obj,Bird,1.434917402502585
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m950.obj,Bed,1.452878196114603
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D00442.obj,Bird,1.599903071248627
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m35.obj,Bird,1.6679985253837373
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01050.obj,Bookset,1.692642964150337
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,D01110.obj,Bookset,1.7083473543641778
./data_normalized/AircraftBuoyant/m1338.obj,AircraftBuoyant,m386.obj,BuildingNonResidential,1.7382301208655764
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1339.obj,AircraftBuoyant,0.0
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,D01146.obj,Bookset,0.9529139122479846
./data_normalized/AircraftBuoyant/m1339.obj,AircraftBuoyant,m387.obj,BuildingNonResidential,1.1272688530579285
