Distance function,k,Precision,Recall,Accuracy,Sensitivity,Specificity,F1 score,F2 score
KNN,3,0.534,0.534,0.999,0.534,0.999,0.534,0.534
KNN,all,0.163,0.163,0.976,0.163,0.988,0.163,0.163
Manhattan,3,0.551,0.551,0.999,0.551,0.999,0.551,0.551
Manhattan,all,0.169,0.169,0.976,0.169,0.988,0.169,0.169
Euclidean,3,0.534,0.534,0.999,0.534,0.999,0.534,0.534
Euclidean,all,0.163,0.163,0.976,0.163,0.988,0.163,0.163
Cosine,3,0.537,0.537,0.999,0.537,0.999,0.537,0.537
Cosine,all,0.173,0.173,0.976,0.173,0.988,0.173,0.173
EMD,3,0.394,0.394,0.999,0.394,0.999,0.394,0.394
EMD,all,0.086,0.086,0.974,0.086,0.987,0.086,0.086
