Mesh; Label; Surface Area; Volume; A3[0]; A3[1]; A3[2]; A3[3]; A3[4]; A3[5]; A3[6]; A3[7]; A3[8]; A3[9]; D1[0]; D1[1]; D1[2]; D1[3]; D1[4]; D1[5]; D1[6]; D1[7]; D1[8]; D1[9]; D1[10]; D1[11]; D2[0]; D2[1]; D2[2]; D2[3]; D2[4]; D2[5]; D2[6]; D2[7]; D2[8]; D2[9]; D3[0]; D3[1]; D3[2]; D3[3]; D3[4]; D3[5]; D3[6]; D3[7]; D3[8]; D3[9]; D3[10]; D3[11]; D3[12]; D3[13]; D3[14]; D4[0]; D4[1]; D4[2]; D4[3]; D4[4]; D4[5]; D4[6]; D4[7]; D4[8]; D4[9]; D4[10]; D4[11]; D4[12]; D4[13]; D4[14]; Diameter; Eccentricity; Compactness; Rectangularity; 
Biplane/m1119.obj;Biplane;0.412103;0.281874;0.151285;0.195134;0.162862;0.145965;0.1127;0.080814;0.059758;0.045863;0.031902;0.013715;0.0052;0.0422;0.127;0.1664;0.1446;0.0994;0.0894;0.1164;0.0718;0.0868;0.0446;0.0062;0.043885;0.135766;0.215665;0.174586;0.144653;0.12672;0.097861;0.044662;0.013066;0.003135;0.004249;0.037252;0.092997;0.141786;0.166932;0.160907;0.128407;0.094204;0.062651;0.039603;0.029033;0.019713;0.012116;0.007045;0.003105;0.501266;0.009459;0.021944;0.036061;0.048329;0.057131;0.059832;0.057271;0.049545;0.039682;0.031313;0.023302;0.018254;0.014413;0.032197;0.303496;0.477273;0.281874;0.113346; 
Biplane/m1123.obj;Biplane;0.395683;0.278889;0.162553;0.20703;0.167491;0.12839;0.097958;0.076728;0.060433;0.050123;0.034718;0.014576;0.003;0.0722;0.1226;0.1422;0.1442;0.1352;0.121;0.108;0.0752;0.0612;0.0152;0;0.046811;0.165501;0.196628;0.200111;0.187015;0.114878;0.050692;0.0246;0.011504;0.002259;0.004828;0.04343;0.107487;0.161745;0.194652;0.182712;0.129567;0.077875;0.047868;0.02881;0.014683;0.005074;0.00115;0.00012;0;0.499992;0.010001;0.024088;0.039803;0.05411;0.062441;0.065191;0.061228;0.05303;0.042912;0.031839;0.022881;0.015402;0.009723;0.00736;0.346332;0.477657;0.278889;0.170474; 
Biplane/m1127.obj;Biplane;0.313519;0.263507;0.181578;0.196673;0.149749;0.126625;0.098134;0.075568;0.061946;0.051482;0.040487;0.017758;0.0044;0.075;0.1424;0.1372;0.1316;0.099;0.081;0.1032;0.0682;0.0976;0.0548;0.0056;0.053966;0.156405;0.185334;0.159719;0.141787;0.121008;0.104061;0.056374;0.016907;0.004438;0.00671;0.0525;0.114911;0.161539;0.175597;0.152742;0.119117;0.076412;0.046778;0.033588;0.024351;0.016332;0.010317;0.005835;0.003272;0.501964;0.011704;0.026311;0.041557;0.05444;0.060873;0.060925;0.056545;0.047521;0.037463;0.028587;0.021817;0.016739;0.012607;0.020947;0.332683;0.477612;0.263507;0.156788; 
Jet/m1168.obj;Jet;0.224498;0.249559;0.191606;0.191623;0.14934;0.112427;0.09054;0.07478;0.062621;0.056034;0.048121;0.022908;0.0098;0.0838;0.1426;0.1922;0.1852;0.1732;0.1064;0.043;0.0224;0.0148;0.013;0.0136;0.079113;0.209018;0.238633;0.193146;0.129437;0.076138;0.042303;0.021614;0.009334;0.001264;0.014021;0.08912;0.176943;0.219601;0.191104;0.134983;0.085822;0.047642;0.0237;0.010676;0.004652;0.00145;0.000279;0.000007;0;0.507928;0.027578;0.058283;0.080396;0.090015;0.083787;0.065541;0.042666;0.023667;0.011867;0.005297;0.002042;0.000711;0.000176;0.000047;0.289169;0.479137;0.249559;0.144406; 
Jet/m1235.obj;Jet;0.260411;0.251779;0.192983;0.183839;0.147817;0.121444;0.091747;0.072954;0.061005;0.055718;0.047483;0.02501;0.0174;0.0678;0.1406;0.1592;0.161;0.173;0.1196;0.0604;0.0428;0.0388;0.0098;0.0096;0.070386;0.180069;0.211466;0.207366;0.155758;0.096807;0.049747;0.020699;0.006598;0.001105;0.013516;0.085971;0.171893;0.200929;0.177289;0.132802;0.090929;0.058365;0.035915;0.018077;0.008422;0.003774;0.001546;0.000465;0.000106;0.505244;0.025683;0.052499;0.0733;0.083198;0.079532;0.065505;0.047669;0.031253;0.018225;0.009701;0.004632;0.002076;0.000971;0.000512;0.22011;0.479554;0.251779;0.094838; 
Jet/m1250.obj;Jet;0.334279;0.266728;0.228496;0.188743;0.139824;0.107683;0.084266;0.066105;0.058268;0.058814;0.048377;0.019424;0.0564;0.1578;0.1394;0.1306;0.1482;0.0972;0.0778;0.0802;0.0798;0.0316;0.001;0;0.103036;0.195852;0.215596;0.180905;0.156067;0.094587;0.038044;0.012081;0.003463;0.000368;0.019068;0.135203;0.212998;0.199552;0.154397;0.108487;0.068722;0.04468;0.027291;0.016179;0.008655;0.003754;0.000911;0.000103;0;0.505476;0.032049;0.066896;0.086696;0.083595;0.069891;0.052808;0.037379;0.025203;0.016668;0.010658;0.006391;0.003423;0.001804;0.001064;0.185857;0.47825;0.266728;0.153419; 
Quadruped/m105.obj;Quadruped;0.282184;0.403483;0.144596;0.207276;0.173;0.132194;0.103347;0.083744;0.066411;0.04966;0.030303;0.009469;0;0.014;0.1496;0.163;0.1766;0.1356;0.152;0.0656;0.0608;0.0518;0.0306;0.0004;0.04902;0.149589;0.215884;0.196857;0.173024;0.109425;0.053867;0.03483;0.014141;0.003364;0.004548;0.04079;0.100471;0.166234;0.200995;0.190642;0.136493;0.081958;0.043203;0.019713;0.009193;0.004033;0.001496;0.000219;0.00001;0.502676;0.009428;0.021957;0.03741;0.050306;0.060061;0.065612;0.065838;0.059801;0.048574;0.034776;0.022195;0.012436;0.005792;0.003138;0.443466;0.477854;0.403483;0.509879; 
Humanoid/m118.obj;Humanoid;0.180788;0.256554;0.288922;0.189498;0.101711;0.072891;0.062308;0.057983;0.058368;0.06682;0.067508;0.03399;0.0054;0.1212;0.1658;0.1416;0.139;0.119;0.0896;0.079;0.0696;0.0416;0.0282;0;0.09209;0.225189;0.197773;0.143926;0.113157;0.088995;0.068067;0.044005;0.019883;0.006916;0.014097;0.107507;0.224452;0.262363;0.2082;0.123685;0.047818;0.011095;0.000781;0;0;0;0;0;0;0.502065;0.028294;0.064338;0.094479;0.104891;0.094041;0.065054;0.032661;0.011312;0.002489;0.000337;0.000039;0;0;0;0.206278;0.481161;0.256554;0.563497; 
Humanoid/m129.obj;Humanoid;0.287244;0.251443;0.304871;0.189166;0.09689;0.070191;0.062903;0.055569;0.054724;0.061387;0.068346;0.035952;0.0596;0.1212;0.1812;0.2338;0.1294;0.0304;0.0642;0.079;0.0316;0.016;0.0228;0.0308;0.146553;0.248525;0.206789;0.14113;0.095752;0.065589;0.044841;0.030192;0.012658;0.007971;0.030177;0.19001;0.276946;0.236755;0.15323;0.077899;0.029505;0.005203;0.000276;0;0;0;0;0;0;0.510181;0.05321;0.104377;0.124834;0.105304;0.063873;0.027339;0.008475;0.002008;0.000347;0.000046;0.000005;0.000002;0;0;0.253627;0.482567;0.251443;0.474773; 
Humanoid/m140.obj;Humanoid;0.219457;0.300502;0.204207;0.203742;0.138524;0.102343;0.080931;0.069573;0.065367;0.064576;0.05118;0.019557;0.008;0.1066;0.1128;0.171;0.1832;0.1354;0.1008;0.0556;0.0472;0.0282;0.0512;0;0.067928;0.2045;0.235289;0.176865;0.117296;0.084357;0.058982;0.0368;0.013673;0.004309;0.008798;0.069247;0.160532;0.222438;0.213703;0.16134;0.095597;0.043722;0.018663;0.005812;0.00015;0;0;0;0;0.50438;0.016562;0.039988;0.064228;0.081511;0.086746;0.079619;0.060998;0.037525;0.018757;0.007271;0.002006;0.000377;0.000031;0.000002;0.195736;0.479312;0.300502;0.607528; 
