Filename,Class,Vertices,Faces,Barycenter offset,Principal comp error,SOM error,Max dim
m1337.obj,AircraftBuoyant,7393,14628,0.772145746102573,-6.661338147750939e-16,6.0,0.949453
m1338.obj,AircraftBuoyant,8761,16960,0.7639336529631562,6.661338147750939e-16,6.0,0.95
m1339.obj,AircraftBuoyant,7872,16076,0.4960249612089153,1.1102230246251565e-15,6.0,0.949551
m1340.obj,AircraftBuoyant,2060,4022,0.348997627315572,-5.551115123125783e-16,6.0,0.948562
m1341.obj,AircraftBuoyant,1880,3724,0.4620495463515413,3.3306690738754696e-16,6.0,0.949268
m1342.obj,AircraftBuoyant,5172,10213,0.460193004198742,-8.881784197001252e-16,6.0,0.9499839999999999
m1343.obj,AircraftBuoyant,7178,14344,0.5613609023583707,1.7763568394002505e-15,6.0,0.949812
m1344.obj,AircraftBuoyant,4149,8054,0.5836442325120704,-5.551115123125783e-16,6.0,0.949498
m1345.obj,AircraftBuoyant,8946,16808,0.577256214137165,6.661338147750939e-16,6.0,0.949321
m1346.obj,AircraftBuoyant,1889,3669,0.28990371027087497,-8.881784197001252e-16,6.0,0.946049
m1347.obj,AircraftBuoyant,3233,6457,0.3026899806128053,-7.771561172376096e-16,6.0,0.9496359999999999
m1348.obj,AircraftBuoyant,1796,3482,0.2819904011134465,2.4424906541753444e-15,6.0,0.948965
m1349.obj,AircraftBuoyant,2042,3986,0.29331848839994357,1.1102230246251565e-15,6.0,0.95
m1350.obj,AircraftBuoyant,2358,4623,0.30247998391273156,6.661338147750939e-16,6.0,0.946253
m1351.obj,AircraftBuoyant,12987,24466,0.12357329566455126,3.3306690738754696e-16,6.0,0.95
m1352.obj,AircraftBuoyant,3099,6062,0.35566781141807013,-8.881784197001252e-16,6.0,0.9369069999999999
D00045.obj,Apartment,14865,21021,0.008325179220529205,-1.2212453270876722e-15,4.0,1.47133
D00086.obj,Apartment,20493,42064,0.007445248982740817,4.440892098500626e-16,2.0,1.7840449999999999
D00138.obj,Apartment,10827,21140,0.03867863522211235,8.881784197001252e-16,2.0,1.559021
D00156.obj,Apartment,12732,19380,0.042670434409910786,-5.551115123125783e-16,2.0,1.700648
D00310.obj,Apartment,14464,9480,0.005364187206725154,-4.440892098500626e-16,4.0,1.777636
D00348.obj,Apartment,10463,19255,0.011434690727015858,4.440892098500626e-16,2.0,1.6671680000000002
D00366.obj,Apartment,24679,49146,0.024026283557187663,-4.440892098500626e-16,0.0,1.641111
D00478.obj,Apartment,19857,25206,0.0066849382274410596,1.3322676295501878e-15,2.0,1.691115
D00496.obj,Apartment,7737,2579,0.0010917119876377242,0.0,2.0,1.796949
D00626.obj,Apartment,73184,64688,0.006662928562350051,3.3306690738754696e-16,2.0,1.792921
D00639.obj,Apartment,49265,97463,0.028803112731483043,0.0,2.0,1.6838980000000001
D00651.obj,Apartment,12732,19380,0.044408828817880046,2.220446049250313e-16,2.0,1.8654169999999999
D00681.obj,Apartment,13823,15557,0.05662748154113273,-7.771561172376096e-16,2.0,1.776201
D00780.obj,Apartment,8240,13684,0.03450822231312693,4.440892098500626e-16,2.0,1.76693
