Filename,Class,Vertices,Faces,Barycenter offset,Principal comp error,SOM error,Max dim
m1337.obj,AircraftBuoyant,7393,14628,9.403233318749607e-16,3.3306690738754696e-16,0.0,0.9999999782418789
m1338.obj,AircraftBuoyant,8761,16960,9.14634100184148e-16,4.440892098500626e-16,0.0,0.9999999708263116
m1339.obj,AircraftBuoyant,7872,16076,2.0206562256222897e-16,-2.220446049250313e-16,0.0,0.9999999984917046
m1340.obj,AircraftBuoyant,2060,4022,1.3712855385190745e-16,8.881784197001252e-16,0.0,0.9999999839919173
m1341.obj,AircraftBuoyant,1880,3724,7.659208322069968e-16,0.0,0.0,0.999999996103989
m1342.obj,AircraftBuoyant,5172,10213,7.904630210526277e-16,-4.440892098500626e-16,0.0,1.0000000091189634
m1343.obj,AircraftBuoyant,7178,14344,9.671970824524957e-16,1.9984014443252818e-15,0.0,0.9999999902802008
m1344.obj,AircraftBuoyant,4149,8054,3.2345329933523683e-16,-9.992007221626409e-16,0.0,1.000000007378742
m1345.obj,AircraftBuoyant,8946,16808,8.285028874706785e-16,-3.3306690738754696e-16,0.0,0.9999999995106849
m1346.obj,AircraftBuoyant,1889,3669,9.054269985849985e-17,1.7763568394002505e-15,0.0,1.000000016613659
m1347.obj,AircraftBuoyant,3233,6457,1.4082475288886195e-16,-8.881784197001252e-16,0.0,1.0000000231762378
m1348.obj,AircraftBuoyant,1796,3482,1.1575146293439208e-17,0.0,0.0,1.000000016816712
m1349.obj,AircraftBuoyant,2042,3986,1.1228646894144966e-16,-4.440892098500626e-16,0.0,0.999999998236208
m1350.obj,AircraftBuoyant,2358,4623,4.948357466602286e-16,0.0,0.0,0.9999999785911889
m1351.obj,AircraftBuoyant,12987,24466,9.131840339894949e-17,4.440892098500626e-16,0.0,1.0000000238810205
m1352.obj,AircraftBuoyant,3099,6062,8.388964028520403e-16,0.0,0.0,0.999999969955881
D00045.obj,Apartment,14865,21021,5.6058206824568266e-18,8.881784197001252e-16,0.0,0.9999999936027093
D00086.obj,Apartment,20493,42064,5.9400819846321784e-21,0.0,0.0,0.9999999901568102
D00138.obj,Apartment,10827,21140,2.4160696792205078e-17,0.0,0.0,1.0000000001833065
D00156.obj,Apartment,12732,19380,1.6078715387757327e-18,-6.661338147750939e-16,0.0,1.0000000099593707
D00310.obj,Apartment,14464,9480,2.893830229837321e-18,0.0,0.0,0.9999999933749228
D00348.obj,Apartment,10463,19255,8.124501926777468e-19,-7.771561172376096e-16,0.0,1.0000000276857617
D00366.obj,Apartment,24679,49146,1.5572421673545402e-17,0.0,0.0,0.9999999693361294
D00478.obj,Apartment,19857,25206,3.79193216906238e-19,0.0,0.0,1.0000000104080917
D00496.obj,Apartment,7737,2579,5.819269542242085e-19,4.440892098500626e-16,0.0,1.0000000364731043
D00626.obj,Apartment,73184,64688,6.745664848320664e-19,-4.440892098500626e-16,0.0,1.0000000004075307
D00639.obj,Apartment,49265,97463,1.5972754041846596e-17,4.440892098500626e-16,0.0,1.0000000367725304
D00651.obj,Apartment,12732,19380,7.354259948523534e-18,-6.661338147750939e-16,0.0,0.9999999986173991
D00681.obj,Apartment,13823,15557,3.516726137896164e-18,0.0,0.0,1.0000000023317055
D00780.obj,Apartment,8240,13684,1.5327237051038504e-17,-2.220446049250313e-16,0.0,0.9999999927499579
D00792.obj,Apartment,14525,27516,1.772534678676488e-17,6.661338147750939e-16,0.0,0.9999999938499271
D00859.obj,Apartment,17947,34650,5.421150329120855e-18,0.0,0.0,1.0000000038264787
D00860.obj,Apartment,19857,25206,5.258514633176409e-18,4.440892098500626e-16,0.0,1.0000000215034475
D00869.obj,Apartment,44585,86234,9.124827492579342e-18,4.440892098500626e-16,0.0,1.0000000249129748
D00921.obj,Apartment,12842,7983,1.3092404404575376e-17,0.0,0.0,0.9999999740716274
D00953.obj,Apartment,35432,68418,9.74763055692781e-18,0.0,0.0,0.9999999620106401
m463.obj,Apartment,25190,49989,4.842628167290548e-16,-4.440892098500626e-16,0.0,0.9999999944025688
m464.obj,Apartment,8301,12810,5.764778099798519e-16,0.0,0.0,0.9999999928897649
